Model, Phase, Block, Item, Response, Clusters number
SUSTAIN, generalization, 1, 2, 1, 2,
SUSTAIN, generalization, 1, 20, 2.0, 3,
SUSTAIN, generalization, 1, 40, 1.0, 4,
SUSTAIN, generalization, 1, 51, 1.0, 5,
SUSTAIN, generalization, 1, 61, 2.0, 6,
SUSTAIN, generalization, 1, 57, 2.0, 7,
SUSTAIN, generalization, 1, 30, 1.0, 8,
SUSTAIN, generalization, 1, 18, 2, 8,
SUSTAIN, generalization, 1, 55, 2, 8,
SUSTAIN, generalization, 1, 37, 1, 8,
SUSTAIN, generalization, 1, 39, 1, 8,
SUSTAIN, generalization, 1, 9, 1, 8,
SUSTAIN, generalization, 1, 50, 1, 8,
SUSTAIN, generalization, 1, 49, 2, 8,
SUSTAIN, generalization, 1, 19, 2, 8,
SUSTAIN, generalization, 1, 15, 1.0, 9,
SUSTAIN, generalization, 1, 63, 2, 9,
SUSTAIN, generalization, 1, 11, 1, 9,
SUSTAIN, generalization, 1, 6, 2.0, 10,
SUSTAIN, generalization, 1, 56, 2, 10,
SUSTAIN, generalization, 1, 23, 1, 10,
SUSTAIN, generalization, 1, 1, 1, 10,
SUSTAIN, generalization, 1, 31, 1, 10,
SUSTAIN, generalization, 1, 5, 2, 10,
SUSTAIN, generalization, 1, 29, 1, 10,
SUSTAIN, generalization, 1, 17, 1.0, 11,
SUSTAIN, generalization, 1, 24, 1.0, 12,
SUSTAIN, generalization, 1, 36, 1.0, 13,
SUSTAIN, generalization, 1, 42, 1.0, 14,
SUSTAIN, generalization, 1, 16, 1, 14,
SUSTAIN, generalization, 1, 33, 2.0, 15,
SUSTAIN, generalization, 1, 62, 2, 15,
SUSTAIN, generalization, 1, 59, 1, 15,
SUSTAIN, generalization, 1, 46, 1.0, 16,
SUSTAIN, generalization, 1, 3, 2.0, 17,
SUSTAIN, generalization, 1, 14, 1, 17,
SUSTAIN, generalization, 1, 38, 0, 17,
SUSTAIN, generalization, 1, 4, 2, 17,
SUSTAIN, generalization, 1, 27, 1.0, 18,
SUSTAIN, generalization, 1, 34, 2, 18,
SUSTAIN, generalization, 1, 32, 1, 18,
SUSTAIN, generalization, 1, 21, 1, 18,
SUSTAIN, generalization, 1, 26, 1, 18,
SUSTAIN, generalization, 1, 28, 1, 18,
SUSTAIN, generalization, 1, 47, 1, 18,
SUSTAIN, generalization, 1, 8, 1.0, 19,
SUSTAIN, generalization, 1, 41, 1, 19,
SUSTAIN, generalization, 1, 52, 1, 19,
SUSTAIN, generalization, 1, 44, 1, 19,
SUSTAIN, generalization, 1, 35, 1, 19,
SUSTAIN, generalization, 1, 53, 2, 19,
SUSTAIN, generalization, 1, 60, 1, 19,
SUSTAIN, generalization, 1, 22, 1.0, 20,
SUSTAIN, generalization, 1, 58, 2, 20,
SUSTAIN, generalization, 1, 54, 1.0, 21,
SUSTAIN, generalization, 1, 25, 1, 21,
SUSTAIN, generalization, 1, 45, 1, 21,
SUSTAIN, generalization, 1, 12, 1.0, 22,
SUSTAIN, generalization, 1, 7, 1, 22,
SUSTAIN, generalization, 1, 43, 1, 22,
SUSTAIN, generalization, 1, 13, 1, 22,
SUSTAIN, generalization, 1, 48, 1.0, 23,
SUSTAIN, generalization, 1, 10, 1, 23,
SUSTAIN, generalization, 1, 64, 2, 23,
SUSTAIN, generalization, 2, 5, 2.0, 3,
SUSTAIN, generalization, 2, 53, 1.0, 4,
SUSTAIN, generalization, 2, 62, 2, 4,
SUSTAIN, generalization, 2, 52, 1, 4,
SUSTAIN, generalization, 2, 43, 1.0, 5,
SUSTAIN, generalization, 2, 23, 1.0, 6,
SUSTAIN, generalization, 2, 50, 1, 6,
SUSTAIN, generalization, 2, 34, 1, 6,
SUSTAIN, generalization, 2, 28, 1.0, 7,
SUSTAIN, generalization, 2, 31, 1, 7,
SUSTAIN, generalization, 2, 61, 1, 7,
SUSTAIN, generalization, 2, 13, 2, 7,
SUSTAIN, generalization, 2, 45, 1, 7,
SUSTAIN, generalization, 2, 7, 2, 7,
SUSTAIN, generalization, 2, 35, 1, 7,
SUSTAIN, generalization, 2, 6, 1, 7,
SUSTAIN, generalization, 2, 16, 1.0, 8,
SUSTAIN, generalization, 2, 25, 2.0, 9,
SUSTAIN, generalization, 2, 48, 1.0, 10,
SUSTAIN, generalization, 2, 14, 2, 10,
SUSTAIN, generalization, 2, 51, 0, 10,
SUSTAIN, generalization, 2, 21, 1.0, 11,
SUSTAIN, generalization, 2, 38, 2.0, 12,
SUSTAIN, generalization, 2, 8, 1, 12,
SUSTAIN, generalization, 2, 63, 2, 12,
SUSTAIN, generalization, 2, 37, 2, 12,
SUSTAIN, generalization, 2, 39, 2, 12,
SUSTAIN, generalization, 2, 2, 1, 12,
SUSTAIN, generalization, 2, 58, 1.0, 13,
SUSTAIN, generalization, 2, 41, 1, 13,
SUSTAIN, generalization, 2, 3, 2.0, 14,
SUSTAIN, generalization, 2, 40, 1, 14,
SUSTAIN, generalization, 2, 10, 1, 14,
SUSTAIN, generalization, 2, 32, 1.0, 15,
SUSTAIN, generalization, 2, 56, 1, 15,
SUSTAIN, generalization, 2, 36, 1, 15,
